courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
Analytical Toxicology MSc	King’s College London	Faculty of Life Sciences & Medicine	Full time	The Analytical Toxicology MSc is a unique study course that integrates theoretical and practical aspects of analytical science with clinical and forensic toxicology. This course will provide you with a detailed knowledge and comprehensive understanding of advanced analytical toxicology and its applications.	See Course		MSc	Full-time: One year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/analytical-toxicology-msc/?i132d4846c14767
Applied Computer Science and Artificial Intelligence - MSc	University of Bradford	Faculty of Engineering & Digital Technologies	Full time&Part time	Computer science is the foundation of many exciting and cutting-edge topics, technologies and applications. This covers AI, Big Data, and Cybersecurity, which span almost every aspect of our lives; from smartphone app development, to the self-driving assistance that revolutionises the safety and efficiency of our transport systems.	September, January		MSc	1 Year Full Time / 2 Years Part Time	Bradford	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/applied-computer-science-and-artificial-intelligence-msc/?i285d7565c71206
Applied Economics (Banking and Financial Markets), online MSc	University of Bath	University of Bath Online	Part time	From political uncertainty to finance and recruitment demands, economics is integral to everyday decision-making. The online MSc Applied Economics with Banking and Financial Markets takes you beyond the research papers and into the real world, giving you insights you can put into action from day one. The University of Bath is the first university in the UK to offer an online Master of Science in Applied Economics, and by emphasising practice over theory, we provide time-pressed professionals with the opportunity to further their career prospects in economics, banking, and finance.	September, January	Cost per 10 credits £722* (10% alumni discount). Fees are paid per unit. The MSc totals 180 credits.* Valid up to and including September 2023 intake. Tuition fees are liable to increase each January. You should budget for an increase of up to a maximum of 5% each year.	MSc	2 years and 6 months full time	Bath	United Kingdom		https://www.findamasters.com/masters-degrees/course/applied-economics-banking-and-financial-markets-online-msc/?i280d8352c56675
3D Design for Virtual Environments - MSc	Glasgow Caledonian University	School of Engineering and Built Environment	Full time	3D visualisation and animation play a role in many areas, and the popularity of these media just keeps growing. Digital animation provides the eye-catching special effects in the 21st century's favourite films and television shows; 3D design is also essential to everyday work in everything from computer games development, online virtual world development and industrial design to marketing, product design and architecture.	September		MSc	1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/3d-design-for-virtual-environments-msc/?i93d2645c19223
Accounting and Finance - MSc	University of Leeds	Leeds University Business School	Full time	Businesses and governments rely on sound financial knowledge to underpin their strategies for success.	September	UK: £18,000 (Total)International: £34,750 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-and-finance-msc/?i321d3232c3891
Accounting, Accountability & Financial Management MSc	King’s College London	King’s Business School	Full time	Our Accounting, Accountability & Financial Management MSc course will provide you with an advanced understanding of the economic, technical and institutional foundations of accounting and financial management.	September		MSc	1 year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-accountability-and-financial-management-msc/?i132d7816c25522
Accounting, Financial Management and Digital Business - MSc	University of Reading	Henley Business School	Full time	Embark on a professional accounting career with academic grounding.	September		MSc	1 year full time	Reading	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-financial-management-and-digital-business-msc/?i345d4286c351
Addictions MSc	King’s College London	Institute of Psychiatry, Psychology and Neuroscience	Full time&Part time	Join us for an online session for prospective students to find out about our MSc Addictions course. The online session will take placeWednesday 17th May 12 - 12.45pm.Book online	September		MSc	One year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/addictions-msc/?i132d4318c27100
Advanced Chemical Engineering - MSc	University of Leeds	School of Chemical and Process Engineering	Full time	The Advanced Chemical Engineering MSc at Leeds will build on the core foundations you’ve learned already in chemical engineering, advancing your skills in this continually evolving discipline.	September	UK: £13,750 (Total)International: £31,000 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-chemical-engineering-msc/?i321d8433c50447
Advanced Master in Financial Markets	Solvay Brussels School	Economics and Management	Full time&Part time	The Advanced Master in Financial Markets offers a complementary education in finance and financial markets to the curricula of classic graduate programmes in finance or economics. It focuses on creating bridges between theory and practice, as well as on the policy and strategic aspects of the current financial context.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	1 year	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-financial-markets/?i1298d6514c28542
Advanced Master in Innovation & Strategic Management	Solvay Brussels School	Economics and Management	Full time	The Advanced Master in Innovation & Strategic Management will provide students with the tools, skills and mindset needed to deal with the challenge of fast-evolving organisations. It helps students to develop their managerial abilities, to analyse complex challenges and influence their environment early on in their careers. It covers the main management disciplines and embraces innovation in all its aspects, from technological, thanks to a real understanding of social media, new products and services, to new business models and organisational forms.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	10 months	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-innovation-and-strategic-management/?i1298d6514c28544
Advanced Physiotherapy Practice - MSc	Glasgow Caledonian University	School of Health and Life Sciences	Full time&Part time	Progress your career as a physiotherapist within the NHS, private sector and in other health and social care settings. Take existing skills in health and social care and apply them to research, clinical assessment, analysis and insight.	January, September		MSc	1 Year Full Time / 2-3 Years Part Time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-practice-msc/?i93d2635c71983
Agricultural Sciences - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Would you like to be involved in finding solutions to future challenges of food and energy production, such as climate change, population growth and limited energy resources? Are you interested in animal welfare, clean soil, environmental issues or the newest methods in biological and genetic engineering? Would you like to learn about automation and robotics in agriculture?	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-sciences-msc-agriculture-and-forestry/?i312d6223c45169
Agricultural, Environmental and Resource Economics - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Are you looking forward to a future as an expert in Agricultural, Environmental and Resource Economics? As a graduate of our Master’s Programme in Agricultural, Environmental and Resource Economics, you can find employment in the national or international market, for example at universities, research institutes, the public sector or in business, or you can become a self-employed entrepreneur.	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-environmental-and-resource-economics-msc-agriculture-and-forestry/?i312d6223c45168
Air Quality Solutions - MSc	University of Leeds	Institute for Transport Studies	Full time&Part time	Up to 7 million people are estimated to die every year due to the harmful effects of air pollution. Degradation in air quality is now the leading environmental cause of premature mortality - exceeding deaths due to unsafe drinking water, malaria and HIV combined. Understanding the factors controlling the emission, processing and fate of air pollutants is vital to effectively mitigate these harmful effects and to assess the effectiveness of policy	September	UK: £12,500 (Total)International: £28,750 (Total)	MSc	1 year full time, 2 or 3 years part-time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/air-quality-solutions-msc/?i321d1045c71834
Analytical Toxicology MSc	King’s College London	Faculty of Life Sciences & Medicine	Full time	The Analytical Toxicology MSc is a unique study course that integrates theoretical and practical aspects of analytical science with clinical and forensic toxicology. This course will provide you with a detailed knowledge and comprehensive understanding of advanced analytical toxicology and its applications.	See Course		MSc	Full-time: One year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/analytical-toxicology-msc/?i132d4846c14767
Applied Computer Science and Artificial Intelligence - MSc	University of Bradford	Faculty of Engineering & Digital Technologies	Full time&Part time	Computer science is the foundation of many exciting and cutting-edge topics, technologies and applications. This covers AI, Big Data, and Cybersecurity, which span almost every aspect of our lives; from smartphone app development, to the self-driving assistance that revolutionises the safety and efficiency of our transport systems.	September, January		MSc	1 Year Full Time / 2 Years Part Time	Bradford	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/applied-computer-science-and-artificial-intelligence-msc/?i285d7565c71206
Applied Economics (Banking and Financial Markets), online MSc	University of Bath	University of Bath Online	Part time	From political uncertainty to finance and recruitment demands, economics is integral to everyday decision-making. The online MSc Applied Economics with Banking and Financial Markets takes you beyond the research papers and into the real world, giving you insights you can put into action from day one. The University of Bath is the first university in the UK to offer an online Master of Science in Applied Economics, and by emphasising practice over theory, we provide time-pressed professionals with the opportunity to further their career prospects in economics, banking, and finance.	September, January	Cost per 10 credits £722* (10% alumni discount). Fees are paid per unit. The MSc totals 180 credits.* Valid up to and including September 2023 intake. Tuition fees are liable to increase each January. You should budget for an increase of up to a maximum of 5% each year.	MSc	2 years and 6 months full time	Bath	United Kingdom		https://www.findamasters.com/masters-degrees/course/applied-economics-banking-and-financial-markets-online-msc/?i280d8352c56675
3D Design for Virtual Environments - MSc	Glasgow Caledonian University	School of Engineering and Built Environment	Full time	3D visualisation and animation play a role in many areas, and the popularity of these media just keeps growing. Digital animation provides the eye-catching special effects in the 21st century's favourite films and television shows; 3D design is also essential to everyday work in everything from computer games development, online virtual world development and industrial design to marketing, product design and architecture.	September		MSc	1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/3d-design-for-virtual-environments-msc/?i93d2645c19223
Accounting and Finance - MSc	University of Leeds	Leeds University Business School	Full time	Businesses and governments rely on sound financial knowledge to underpin their strategies for success.	September	UK: £18,000 (Total)International: £34,750 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-and-finance-msc/?i321d3232c3891
Accounting, Accountability & Financial Management MSc	King’s College London	King’s Business School	Full time	Our Accounting, Accountability & Financial Management MSc course will provide you with an advanced understanding of the economic, technical and institutional foundations of accounting and financial management.	September		MSc	1 year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-accountability-and-financial-management-msc/?i132d7816c25522
Accounting, Financial Management and Digital Business - MSc	University of Reading	Henley Business School	Full time	Embark on a professional accounting career with academic grounding.	September		MSc	1 year full time	Reading	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-financial-management-and-digital-business-msc/?i345d4286c351
Addictions MSc	King’s College London	Institute of Psychiatry, Psychology and Neuroscience	Full time&Part time	Join us for an online session for prospective students to find out about our MSc Addictions course. The online session will take placeWednesday 17th May 12 - 12.45pm.Book online	September		MSc	One year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/addictions-msc/?i132d4318c27100
Advanced Chemical Engineering - MSc	University of Leeds	School of Chemical and Process Engineering	Full time	The Advanced Chemical Engineering MSc at Leeds will build on the core foundations you’ve learned already in chemical engineering, advancing your skills in this continually evolving discipline.	September	UK: £13,750 (Total)International: £31,000 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-chemical-engineering-msc/?i321d8433c50447
Advanced Master in Financial Markets	Solvay Brussels School	Economics and Management	Full time&Part time	The Advanced Master in Financial Markets offers a complementary education in finance and financial markets to the curricula of classic graduate programmes in finance or economics. It focuses on creating bridges between theory and practice, as well as on the policy and strategic aspects of the current financial context.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	1 year	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-financial-markets/?i1298d6514c28542
Advanced Master in Innovation & Strategic Management	Solvay Brussels School	Economics and Management	Full time	The Advanced Master in Innovation & Strategic Management will provide students with the tools, skills and mindset needed to deal with the challenge of fast-evolving organisations. It helps students to develop their managerial abilities, to analyse complex challenges and influence their environment early on in their careers. It covers the main management disciplines and embraces innovation in all its aspects, from technological, thanks to a real understanding of social media, new products and services, to new business models and organisational forms.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	10 months	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-innovation-and-strategic-management/?i1298d6514c28544
Advanced Physiotherapy Practice - MSc	Glasgow Caledonian University	School of Health and Life Sciences	Full time&Part time	Progress your career as a physiotherapist within the NHS, private sector and in other health and social care settings. Take existing skills in health and social care and apply them to research, clinical assessment, analysis and insight.	January, September		MSc	1 Year Full Time / 2-3 Years Part Time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-practice-msc/?i93d2635c71983
Agricultural Sciences - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Would you like to be involved in finding solutions to future challenges of food and energy production, such as climate change, population growth and limited energy resources? Are you interested in animal welfare, clean soil, environmental issues or the newest methods in biological and genetic engineering? Would you like to learn about automation and robotics in agriculture?	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-sciences-msc-agriculture-and-forestry/?i312d6223c45169
Agricultural, Environmental and Resource Economics - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Are you looking forward to a future as an expert in Agricultural, Environmental and Resource Economics? As a graduate of our Master’s Programme in Agricultural, Environmental and Resource Economics, you can find employment in the national or international market, for example at universities, research institutes, the public sector or in business, or you can become a self-employed entrepreneur.	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-environmental-and-resource-economics-msc-agriculture-and-forestry/?i312d6223c45168
Air Quality Solutions - MSc	University of Leeds	Institute for Transport Studies	Full time&Part time	Up to 7 million people are estimated to die every year due to the harmful effects of air pollution. Degradation in air quality is now the leading environmental cause of premature mortality - exceeding deaths due to unsafe drinking water, malaria and HIV combined. Understanding the factors controlling the emission, processing and fate of air pollutants is vital to effectively mitigate these harmful effects and to assess the effectiveness of policy	September	UK: £12,500 (Total)International: £28,750 (Total)	MSc	1 year full time, 2 or 3 years part-time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/air-quality-solutions-msc/?i321d1045c71834
Analytical Toxicology MSc	King’s College London	Faculty of Life Sciences & Medicine	Full time	The Analytical Toxicology MSc is a unique study course that integrates theoretical and practical aspects of analytical science with clinical and forensic toxicology. This course will provide you with a detailed knowledge and comprehensive understanding of advanced analytical toxicology and its applications.	See Course		MSc	Full-time: One year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/analytical-toxicology-msc/?i132d4846c14767
Applied Computer Science and Artificial Intelligence - MSc	University of Bradford	Faculty of Engineering & Digital Technologies	Full time&Part time	Computer science is the foundation of many exciting and cutting-edge topics, technologies and applications. This covers AI, Big Data, and Cybersecurity, which span almost every aspect of our lives; from smartphone app development, to the self-driving assistance that revolutionises the safety and efficiency of our transport systems.	September, January		MSc	1 Year Full Time / 2 Years Part Time	Bradford	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/applied-computer-science-and-artificial-intelligence-msc/?i285d7565c71206
Applied Economics (Banking and Financial Markets), online MSc	University of Bath	University of Bath Online	Part time	From political uncertainty to finance and recruitment demands, economics is integral to everyday decision-making. The online MSc Applied Economics with Banking and Financial Markets takes you beyond the research papers and into the real world, giving you insights you can put into action from day one. The University of Bath is the first university in the UK to offer an online Master of Science in Applied Economics, and by emphasising practice over theory, we provide time-pressed professionals with the opportunity to further their career prospects in economics, banking, and finance.	September, January	Cost per 10 credits £722* (10% alumni discount). Fees are paid per unit. The MSc totals 180 credits.* Valid up to and including September 2023 intake. Tuition fees are liable to increase each January. You should budget for an increase of up to a maximum of 5% each year.	MSc	2 years and 6 months full time	Bath	United Kingdom		https://www.findamasters.com/masters-degrees/course/applied-economics-banking-and-financial-markets-online-msc/?i280d8352c56675
3D Design for Virtual Environments - MSc	Glasgow Caledonian University	School of Engineering and Built Environment	Full time	3D visualisation and animation play a role in many areas, and the popularity of these media just keeps growing. Digital animation provides the eye-catching special effects in the 21st century's favourite films and television shows; 3D design is also essential to everyday work in everything from computer games development, online virtual world development and industrial design to marketing, product design and architecture.	September		MSc	1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/3d-design-for-virtual-environments-msc/?i93d2645c19223
Accounting and Finance - MSc	University of Leeds	Leeds University Business School	Full time	Businesses and governments rely on sound financial knowledge to underpin their strategies for success.	September	UK: £18,000 (Total)International: £34,750 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-and-finance-msc/?i321d3232c3891
Accounting, Accountability & Financial Management MSc	King’s College London	King’s Business School	Full time	Our Accounting, Accountability & Financial Management MSc course will provide you with an advanced understanding of the economic, technical and institutional foundations of accounting and financial management.	September		MSc	1 year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-accountability-and-financial-management-msc/?i132d7816c25522
Accounting, Financial Management and Digital Business - MSc	University of Reading	Henley Business School	Full time	Embark on a professional accounting career with academic grounding.	September		MSc	1 year full time	Reading	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-financial-management-and-digital-business-msc/?i345d4286c351
Addictions MSc	King’s College London	Institute of Psychiatry, Psychology and Neuroscience	Full time&Part time	Join us for an online session for prospective students to find out about our MSc Addictions course. The online session will take placeWednesday 17th May 12 - 12.45pm.Book online	September		MSc	One year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/addictions-msc/?i132d4318c27100
Advanced Chemical Engineering - MSc	University of Leeds	School of Chemical and Process Engineering	Full time	The Advanced Chemical Engineering MSc at Leeds will build on the core foundations you’ve learned already in chemical engineering, advancing your skills in this continually evolving discipline.	September	UK: £13,750 (Total)International: £31,000 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-chemical-engineering-msc/?i321d8433c50447
Advanced Master in Financial Markets	Solvay Brussels School	Economics and Management	Full time&Part time	The Advanced Master in Financial Markets offers a complementary education in finance and financial markets to the curricula of classic graduate programmes in finance or economics. It focuses on creating bridges between theory and practice, as well as on the policy and strategic aspects of the current financial context.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	1 year	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-financial-markets/?i1298d6514c28542
Advanced Master in Innovation & Strategic Management	Solvay Brussels School	Economics and Management	Full time	The Advanced Master in Innovation & Strategic Management will provide students with the tools, skills and mindset needed to deal with the challenge of fast-evolving organisations. It helps students to develop their managerial abilities, to analyse complex challenges and influence their environment early on in their careers. It covers the main management disciplines and embraces innovation in all its aspects, from technological, thanks to a real understanding of social media, new products and services, to new business models and organisational forms.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	10 months	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-innovation-and-strategic-management/?i1298d6514c28544
Advanced Physiotherapy Practice - MSc	Glasgow Caledonian University	School of Health and Life Sciences	Full time&Part time	Progress your career as a physiotherapist within the NHS, private sector and in other health and social care settings. Take existing skills in health and social care and apply them to research, clinical assessment, analysis and insight.	January, September		MSc	1 Year Full Time / 2-3 Years Part Time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-practice-msc/?i93d2635c71983
Agricultural Sciences - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Would you like to be involved in finding solutions to future challenges of food and energy production, such as climate change, population growth and limited energy resources? Are you interested in animal welfare, clean soil, environmental issues or the newest methods in biological and genetic engineering? Would you like to learn about automation and robotics in agriculture?	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-sciences-msc-agriculture-and-forestry/?i312d6223c45169
Agricultural, Environmental and Resource Economics - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Are you looking forward to a future as an expert in Agricultural, Environmental and Resource Economics? As a graduate of our Master’s Programme in Agricultural, Environmental and Resource Economics, you can find employment in the national or international market, for example at universities, research institutes, the public sector or in business, or you can become a self-employed entrepreneur.	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-environmental-and-resource-economics-msc-agriculture-and-forestry/?i312d6223c45168
Air Quality Solutions - MSc	University of Leeds	Institute for Transport Studies	Full time&Part time	Up to 7 million people are estimated to die every year due to the harmful effects of air pollution. Degradation in air quality is now the leading environmental cause of premature mortality - exceeding deaths due to unsafe drinking water, malaria and HIV combined. Understanding the factors controlling the emission, processing and fate of air pollutants is vital to effectively mitigate these harmful effects and to assess the effectiveness of policy	September	UK: £12,500 (Total)International: £28,750 (Total)	MSc	1 year full time, 2 or 3 years part-time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/air-quality-solutions-msc/?i321d1045c71834
Analytical Toxicology MSc	King’s College London	Faculty of Life Sciences & Medicine	Full time	The Analytical Toxicology MSc is a unique study course that integrates theoretical and practical aspects of analytical science with clinical and forensic toxicology. This course will provide you with a detailed knowledge and comprehensive understanding of advanced analytical toxicology and its applications.	See Course		MSc	Full-time: One year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/analytical-toxicology-msc/?i132d4846c14767
Applied Computer Science and Artificial Intelligence - MSc	University of Bradford	Faculty of Engineering & Digital Technologies	Full time&Part time	Computer science is the foundation of many exciting and cutting-edge topics, technologies and applications. This covers AI, Big Data, and Cybersecurity, which span almost every aspect of our lives; from smartphone app development, to the self-driving assistance that revolutionises the safety and efficiency of our transport systems.	September, January		MSc	1 Year Full Time / 2 Years Part Time	Bradford	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/applied-computer-science-and-artificial-intelligence-msc/?i285d7565c71206
Applied Economics (Banking and Financial Markets), online MSc	University of Bath	University of Bath Online	Part time	From political uncertainty to finance and recruitment demands, economics is integral to everyday decision-making. The online MSc Applied Economics with Banking and Financial Markets takes you beyond the research papers and into the real world, giving you insights you can put into action from day one. The University of Bath is the first university in the UK to offer an online Master of Science in Applied Economics, and by emphasising practice over theory, we provide time-pressed professionals with the opportunity to further their career prospects in economics, banking, and finance.	September, January	Cost per 10 credits £722* (10% alumni discount). Fees are paid per unit. The MSc totals 180 credits.* Valid up to and including September 2023 intake. Tuition fees are liable to increase each January. You should budget for an increase of up to a maximum of 5% each year.	MSc	2 years and 6 months full time	Bath	United Kingdom		https://www.findamasters.com/masters-degrees/course/applied-economics-banking-and-financial-markets-online-msc/?i280d8352c56675
3D Design for Virtual Environments - MSc	Glasgow Caledonian University	School of Engineering and Built Environment	Full time	3D visualisation and animation play a role in many areas, and the popularity of these media just keeps growing. Digital animation provides the eye-catching special effects in the 21st century's favourite films and television shows; 3D design is also essential to everyday work in everything from computer games development, online virtual world development and industrial design to marketing, product design and architecture.	September		MSc	1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/3d-design-for-virtual-environments-msc/?i93d2645c19223
Accounting and Finance - MSc	University of Leeds	Leeds University Business School	Full time	Businesses and governments rely on sound financial knowledge to underpin their strategies for success.	September	UK: £18,000 (Total)International: £34,750 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-and-finance-msc/?i321d3232c3891
Accounting, Accountability & Financial Management MSc	King’s College London	King’s Business School	Full time	Our Accounting, Accountability & Financial Management MSc course will provide you with an advanced understanding of the economic, technical and institutional foundations of accounting and financial management.	September		MSc	1 year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-accountability-and-financial-management-msc/?i132d7816c25522
Accounting, Financial Management and Digital Business - MSc	University of Reading	Henley Business School	Full time	Embark on a professional accounting career with academic grounding.	September		MSc	1 year full time	Reading	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/accounting-financial-management-and-digital-business-msc/?i345d4286c351
Addictions MSc	King’s College London	Institute of Psychiatry, Psychology and Neuroscience	Full time&Part time	Join us for an online session for prospective students to find out about our MSc Addictions course. The online session will take placeWednesday 17th May 12 - 12.45pm.Book online	September		MSc	One year FT	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/addictions-msc/?i132d4318c27100
Advanced Chemical Engineering - MSc	University of Leeds	School of Chemical and Process Engineering	Full time	The Advanced Chemical Engineering MSc at Leeds will build on the core foundations you’ve learned already in chemical engineering, advancing your skills in this continually evolving discipline.	September	UK: £13,750 (Total)International: £31,000 (Total)	MSc	1 year full time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-chemical-engineering-msc/?i321d8433c50447
Advanced Master in Financial Markets	Solvay Brussels School	Economics and Management	Full time&Part time	The Advanced Master in Financial Markets offers a complementary education in finance and financial markets to the curricula of classic graduate programmes in finance or economics. It focuses on creating bridges between theory and practice, as well as on the policy and strategic aspects of the current financial context.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	1 year	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-financial-markets/?i1298d6514c28542
Advanced Master in Innovation & Strategic Management	Solvay Brussels School	Economics and Management	Full time	The Advanced Master in Innovation & Strategic Management will provide students with the tools, skills and mindset needed to deal with the challenge of fast-evolving organisations. It helps students to develop their managerial abilities, to analyse complex challenges and influence their environment early on in their careers. It covers the main management disciplines and embraces innovation in all its aspects, from technological, thanks to a real understanding of social media, new products and services, to new business models and organisational forms.	September	18.000 €	MA,MSc,Other,Pre-Masters,Masters Module	10 months	Brussels	Belgium	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-master-in-innovation-and-strategic-management/?i1298d6514c28544
Advanced Physiotherapy Practice - MSc	Glasgow Caledonian University	School of Health and Life Sciences	Full time&Part time	Progress your career as a physiotherapist within the NHS, private sector and in other health and social care settings. Take existing skills in health and social care and apply them to research, clinical assessment, analysis and insight.	January, September		MSc	1 Year Full Time / 2-3 Years Part Time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/advanced-physiotherapy-practice-msc/?i93d2635c71983
Agricultural Sciences - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Would you like to be involved in finding solutions to future challenges of food and energy production, such as climate change, population growth and limited energy resources? Are you interested in animal welfare, clean soil, environmental issues or the newest methods in biological and genetic engineering? Would you like to learn about automation and robotics in agriculture?	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-sciences-msc-agriculture-and-forestry/?i312d6223c45169
Agricultural, Environmental and Resource Economics - MSc (Agriculture and Forestry)	University of Helsinki	International Masters Degree Programmes	Full time	Are you looking forward to a future as an expert in Agricultural, Environmental and Resource Economics? As a graduate of our Master’s Programme in Agricultural, Environmental and Resource Economics, you can find employment in the national or international market, for example at universities, research institutes, the public sector or in business, or you can become a self-employed entrepreneur.	September	Tuition fee per year (non-EU/EEA students): 15000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/agricultural-environmental-and-resource-economics-msc-agriculture-and-forestry/?i312d6223c45168
Air Quality Solutions - MSc	University of Leeds	Institute for Transport Studies	Full time&Part time	Up to 7 million people are estimated to die every year due to the harmful effects of air pollution. Degradation in air quality is now the leading environmental cause of premature mortality - exceeding deaths due to unsafe drinking water, malaria and HIV combined. Understanding the factors controlling the emission, processing and fate of air pollutants is vital to effectively mitigate these harmful effects and to assess the effectiveness of policy	September	UK: £12,500 (Total)International: £28,750 (Total)	MSc	1 year full time, 2 or 3 years part-time	Leeds	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/air-quality-solutions-msc/?i321d1045c71834
